Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Sub_metering_4
01/01/2026,0:40:00,3.996,0.842,238.31,16.71,11.09,0,7.41,48.11
01/01/2026,0:41:00,1.923,0.429,241.11,7.95,8.08,0,3.89,20.08
01/01/2026,0:42:00,0.719,0.12,240.93,3.27,0,0,7.2,4.79
01/01/2026,0:43:00,1.354,0.167,238.25,5.52,1.21,0,4.55,16.81
01/01/2026,0:44:00,4.565,0.824,238.01,19.4,0,0,0.87,75.22
01/01/2026,0:45:00,1.516,0.168,237.01,6.1,5.85,0,3.89,15.53
01/01/2026,0:46:00,1.047,0.102,232.04,4.76,2.44,0,20.04,0
01/01/2026,0:47:00,1.134,0.167,236.11,4.97,0,0,8.44,10.47
01/01/2026,0:48:00,1.916,0.179,242.6,7.87,16.17,0,2.14,13.62
01/01/2026,0:49:00,0.592,0.087,244.39,2.6,0,0,17.31,0
01/01/2026,0:50:00,0.845,0.204,244.04,3.36,0,4.29,9.06,0.73
01/01/2026,0:51:00,2.953,0.644,242.73,11.98,9.25,4.46,2.72,32.79
01/01/2026,0:52:00,1.871,0.446,236.96,8.24,0,0.74,5.55,24.89
01/01/2026,0:53:00,1.53,0.323,236.46,6.36,0,3.63,3.34,18.53
01/01/2026,0:54:00,3.068,0.371,234.57,13.22,0,0,0.61,50.53
01/01/2026,0:55:00,0.673,0.143,238.25,3.05,6.58,2.6,9.84,0
01/01/2026,0:56:00,1.017,0.239,240.26,4.39,2.69,0,1.27,12.98
01/01/2026,0:57:00,1.82,0.436,236.98,7.8,0,0.46,3.68,26.2
01/01/2026,0:58:00,1.766,0.33,241.29,7.46,0,0,7.28,22.16
01/01/2026,0:59:00,0.25,0.023,241.96,1.25,5.02,8.58,16.15,0
01/01/2026,1:00:00,0.922,0.053,238.58,3.93,0,0,0.39,14.99
01/01/2026,1:01:00,1.201,0.095,235.98,5.08,1.02,0,3,16
01/01/2026,1:02:00,1.992,0.484,244.14,7.88,1.68,0,5.72,25.8
01/01/2026,1:03:00,1.761,0.251,240.11,7.4,0,4.38,9.07,15.9
01/01/2026,1:04:00,1.306,0.289,245.82,5.52,0,0,15.22,6.54
01/01/2026,1:05:00,0.095,0.014,240.28,0.2,0,2.43,0,0
01/01/2026,1:06:00,1.366,0.249,240.49,5.63,0,0,5.93,16.84
01/01/2026,1:07:00,1.48,0.081,237.11,6.33,0,0,0.04,24.62
01/01/2026,1:08:00,7.635,0.763,238.73,32.28,11.25,0,9.29,106.71
01/01/2026,1:09:00,1.165,0.16,235.32,4.72,0.53,0,0.97,17.92
01/01/2026,1:10:00,1.828,0.322,235.97,7.91,0,0,13.5,16.97
01/01/2026,1:11:00,3.465,0.292,242.22,14.23,2.08,0,1.01,54.66
01/01/2026,1:12:00,2.618,0.531,239.15,10.81,0,0,8.67,34.97
01/01/2026,1:13:00,4.119,0.506,238.73,17.07,0,0,2.05,66.6
01/01/2026,1:14:00,0.256,0.055,237.78,0.94,0,0,4.89,0
01/01/2026,1:15:00,0.469,0.033,238.84,2.06,20.64,4.59,5.63,0
01/01/2026,1:16:00,0.787,0.146,243.4,3.19,0,0,1.39,11.72
01/01/2026,1:17:00,0.199,0.022,240.43,0.97,0,0,2.13,1.18
01/01/2026,1:18:00,1.491,0.312,236.46,6.08,0,0,0.68,24.16
01/01/2026,1:19:00,0.514,0.067,243.09,2.26,0,2.47,0.03,6.07
01/01/2026,1:20:00,4.523,0.828,245.18,18.54,0,0,1.64,73.74
01/01/2026,1:21:00,0.61,0.145,241.48,2.23,0,0,4.35,5.82
01/01/2026,1:22:00,1.023,0.055,242.67,4.52,0.11,0,7.5,9.43
01/01/2026,1:23:00,2.741,0.143,243.66,11.32,0,1.65,9.47,34.57
01/01/2026,1:24:00,0.334,0.068,235.03,1.57,0,0,0.43,5.13
01/01/2026,1:25:00,0.179,0.032,245.59,0.96,0,0,1.91,1.08
01/01/2026,1:26:00,1.653,0.18,243.3,6.99,2.04,0,8.82,16.69
01/01/2026,1:27:00,1.765,0.263,241.47,7.28,0,0.43,3.93,25.05
01/01/2026,1:28:00,2.678,0.156,239.62,11.32,0.79,0,1.21,42.63
01/01/2026,1:29:00,2.191,0.194,235.99,8.92,2,0,2.99,31.54
01/01/2026,1:30:00,1.821,0.246,239.01,7.7,2.31,0,1.89,26.15
01/01/2026,1:31:00,0.691,0.15,241.35,3.21,6.9,0.58,0.31,3.72
01/01/2026,1:32:00,1.723,0.251,236.69,7.14,0,0,8.65,20.06
01/01/2026,1:33:00,1.815,0.304,239.79,7.75,0,0,2.07,28.19
01/01/2026,1:34:00,0.663,0.149,236.45,3.16,0,0,17.42,0
01/01/2026,1:35:00,5.478,0.612,238.85,23.07,7.26,0,13.14,70.9
01/01/2026,1:36:00,2.108,0.401,235.94,9.14,6.71,0,7.56,20.87
01/01/2026,1:37:00,0.479,0.106,235.63,1.72,3.23,0,2.37,2.37
01/01/2026,1:38:00,2.688,0.243,241.02,10.97,0,2.36,1.97,40.47
01/01/2026,1:39:00,3.057,0.371,238.26,13.12,0,0,3.87,47.08
01/01/2026,1:40:00,2.006,0.493,238.54,8.6,0,0,2.63,30.81
01/01/2026,1:41:00,1.105,0.273,238.1,4.74,0,6.89,13.89,0
01/01/2026,1:42:00,0.633,0.06,248.17,2.5,0,0,0.79,9.75
01/01/2026,1:43:00,1.302,0.082,241.82,5.44,0,0,7.73,13.97
01/01/2026,1:44:00,1.89,0.197,242.14,8.15,0.07,0,5.66,25.77
01/01/2026,1:45:00,1.417,0.184,237.67,5.94,0,2.02,9.85,11.74
01/01/2026,1:46:00,4.255,0.588,241.51,17.76,0,6.64,4.69,59.6
01/01/2026,1:47:00,2.378,0.413,239.32,10.07,0,0,5.96,33.67
01/01/2026,1:48:00,0.557,0.128,237.65,2.21,0,0,19.74,0
01/01/2026,1:49:00,0.42,0.049,245.79,1.59,4.46,0,0.58,1.97
01/01/2026,1:50:00,2.123,0.467,241.72,9.09,0,1.94,0.66,32.78
01/01/2026,1:51:00,1.13,0.078,241.57,4.79,0,0,3,15.83
01/01/2026,1:52:00,2.544,0.149,237.08,10.6,0,0,3.84,38.57
01/01/2026,1:53:00,2.107,0.318,236.19,8.86,11.85,0,1.34,21.94
01/01/2026,1:54:00,1.308,0.081,239.83,5.26,0,0,0.52,21.28
01/01/2026,1:55:00,0.564,0.073,238.28,2.58,0,0,0.13,9.27
01/01/2026,1:56:00,0.211,0.048,241.84,0.82,0,0,8.68,0
01/01/2026,1:57:00,1.696,0.167,242.04,6.96,0,1.3,3.98,22.99
01/01/2026,1:58:00,0.327,0.062,240.2,1.53,0.62,0.4,11.12,0
01/01/2026,1:59:00,0.538,0.059,242.48,1.88,0,0,2.69,6.29
01/01/2026,2:00:00,1.609,0.095,240.58,6.68,0,0,7.29,19.52
01/01/2026,2:01:00,1.477,0.238,237.38,6.22,0,0,4.02,20.59
01/01/2026,2:02:00,0.38,0.082,239.41,1.53,1.11,1.57,5.68,0
01/01/2026,2:03:00,3.325,0.439,180,13.72,0,0.89,2.77,51.75
01/01/2026,2:04:00,3.258,0.565,242.79,13.28,4.72,0,0.51,49.08
01/01/2026,2:05:00,2.179,0.501,240.67,9.11,0,0,17.67,18.65
01/01/2026,2:06:00,2.177,0.453,238.29,8.93,6.07,0,10.85,19.37
01/01/2026,2:07:00,2.179,0.193,242.9,9,3.8,9.92,2.24,20.36
01/01/2026,2:08:00,3.036,0.597,241.14,12.48,0,0,19.12,31.48
01/01/2026,2:09:00,2.425,0.365,244.64,9.82,0,0.12,2.14,38.16
01/01/2026,2:10:00,0.618,0.123,240.26,2.61,0,0.79,3.51,6.01
01/01/2026,2:11:00,1.115,0.166,236.89,4.61,2.46,0,8.44,7.68
01/01/2026,2:12:00,7.053,0.533,243.53,29.22,0,3.57,2.22,111.77
01/01/2026,2:13:00,0.107,0.017,238.27,0.42,0,0,2.35,0
01/01/2026,2:14:00,0.873,0.13,240.89,3.83,0,0,3.17,11.38
01/01/2026,2:15:00,3.339,0.513,240.56,13.73,0,0,3.79,51.86
01/01/2026,2:16:00,0.662,0.15,240.14,2.6,0,0,0.79,10.25
01/01/2026,2:17:00,2.479,0.567,239.49,10.02,0.73,0,0.11,40.47
01/01/2026,2:18:00,1.46,0.205,235.04,6.11,1.74,0,15.09,7.5
01/01/2026,2:19:00,0.714,0.101,236.99,2.97,0,0,2.61,9.28
01/01/2026,2:20:00,1.656,0.253,243.37,6.82,0,3.68,0.64,23.27
01/01/2026,2:21:00,0.604,0.093,241.29,2.64,0,8.01,8.54,0
01/01/2026,2:22:00,1.256,0.302,245.73,5.24,4.5,0,2.1,14.35
01/01/2026,2:23:00,2.162,0.389,236.89,9.35,0,0,1.2,34.83
01/01/2026,2:24:00,2.849,0.301,239.91,11.7,0,0,19.72,27.76
01/01/2026,2:25:00,0.87,0.136,243.49,3.58,0,0,15.2,0
01/01/2026,2:26:00,0.712,0.125,238.3,2.79,2.88,0,0.67,8.32
01/01/2026,2:27:00,0.319,0.057,238.54,1.42,0,0,13.77,0
01/01/2026,2:28:00,2.958,0.494,239.12,12.73,0,0,13.29,36.02
01/01/2026,2:29:00,6.345,0.543,238.66,26.35,0,0,6.04,99.72
01/01/2026,2:30:00,3.21,0.182,241.6,13.42,0,1,4.53,47.97
01/01/2026,2:31:00,3.768,0.443,234.66,16.27,0,0,1.47,61.33
01/01/2026,2:32:00,0.668,0.091,244.93,2.55,0,0,0.78,10.37
01/01/2026,2:33:00,2.058,0.128,237.12,8.76,0,0,5.59,28.7
01/01/2026,2:34:00,2.663,0.567,233.65,11.33,3.22,0,10.35,30.81
01/01/2026,2:35:00,0.448,0.053,239.97,1.84,0,0,7,0.46
01/01/2026,2:36:00,0.079,0.018,238.87,0.25,0,2.18,1.2,0
01/01/2026,2:37:00,0.301,0.024,239.47,1.21,0,9.95,2.06,0
01/01/2026,2:38:00,1.24,0.076,240.94,5.38,0,0,4.74,15.92
01/01/2026,2:39:00,0.879,0.129,241.93,3.62,0,0.22,5.88,8.55
01/01/2026,2:40:00,1.993,0.175,245.06,8.01,4,0,0.45,28.77
01/01/2026,2:41:00,2.941,0.698,237.93,12.38,0,0,5.71,43.31
01/01/2026,2:42:00,1.154,0.06,242.32,4.34,1.03,0,8,10.2
01/01/2026,2:43:00,1.48,0.196,242.13,5.95,0.19,0,1.2,23.28
01/01/2026,2:44:00,0.1,0.023,232.08,0.68,0,0,1.7,0
01/01/2026,2:45:00,3.802,0.482,237.5,15.98,24.62,8.4,1.8,28.55
01/01/2026,2:46:00,2.492,0.171,236.14,10.46,0,0,16.86,24.68
01/01/2026,2:47:00,1.494,0.165,241.34,6.23,0,0,3.14,21.76
01/01/2026,2:48:00,0.859,0.129,241.01,3.71,9.21,0,4.54,0.58
01/01/2026,2:49:00,1.687,0.147,241.07,7.26,0,0,7.73,20.38
01/01/2026,2:50:00,0.738,0.106,239.08,3,0,0,2.79,9.52
01/01/2026,2:51:00,0.988,0.215,239.39,4.04,0,0,0.67,15.8
01/01/2026,2:52:00,1.924,0.432,239.91,7.97,0,0,6.37,25.69
01/01/2026,2:53:00,2.297,0.137,238.8,9.82,0,0,6.6,31.68
01/01/2026,2:54:00,2.244,0.184,242.33,9.27,9.86,0,1.81,25.73
01/01/2026,2:55:00,0.667,0.07,236.79,3.25,0,0,0.22,10.89
01/01/2026,2:56:00,0.126,0.021,237.65,0.5,7.77,0,6.57,0
01/01/2026,2:57:00,0.339,0.041,240.36,1.76,0,0,7.29,0
01/01/2026,2:58:00,4.531,0.991,238.9,18.79,0,0,0.16,75.36
01/01/2026,2:59:00,0.904,0.175,236.67,3.54,0,0,7.09,7.98
01/01/2026,3:00:00,1.416,0.099,241.6,5.84,0,0,16.77,6.82
01/01/2026,3:01:00,2.986,0.522,238.28,12.76,0,0,1.18,48.59
01/01/2026,3:02:00,1.112,0.081,237.47,4.59,0.52,0,4.42,13.6
01/01/2026,3:03:00,2.824,0.285,239.48,11.67,0,7.7,7.16,32.21
01/01/2026,3:04:00,1.077,0.092,237.32,4.74,0,5.02,1.57,11.37
01/01/2026,3:05:00,0.746,0.063,239.9,3.25,0,0,8.36,4.08
01/01/2026,3:06:00,5.629,0.975,238.92,23.4,0,0,12.15,81.67
01/01/2026,3:07:00,3.284,0.534,238.46,13.6,0,0,10.11,44.63
01/01/2026,3:08:00,3.614,0.308,238.48,15.32,0,0,1.8,58.44
01/01/2026,3:09:00,0.351,0.087,242.99,1.12,1.56,0,9.78,0
01/01/2026,3:10:00,0.675,0.091,241.11,3.02,9.2,0,3.2,0
01/01/2026,3:11:00,1.389,0.096,234.87,6.05,0,0,1.86,21.28
01/01/2026,3:12:00,1.036,0.077,242.65,3.81,0,0,1.1,16.17
01/01/2026,3:13:00,2.722,0.454,241.55,11.27,0,0.65,14.38,30.33
01/01/2026,3:14:00,2.356,0.579,241.37,9.36,0.21,0,3.34,35.72
01/01/2026,3:15:00,4.001,0.658,242.66,16.25,2.29,0,12.05,52.34
01/01/2026,3:16:00,0.91,0.218,240.05,3.69,1.53,3.06,1.04,9.53
01/01/2026,3:17:00,1.681,0.233,241.86,6.7,0,0,8.74,19.28
01/01/2026,3:18:00,3.493,0.479,238.61,15.08,0,0.68,0.7,56.83
01/01/2026,3:19:00,0.868,0.13,242.54,3.75,0,0,0.11,14.36
01/01/2026,3:20:00,0.703,0.133,240.65,3.2,6.53,0.71,31.85,0
01/01/2026,3:21:00,4.006,0.495,235.87,16.96,4.56,8.35,0.46,53.41
01/01/2026,3:22:00,4.58,1.02,243.11,18.85,0,0,3.71,72.62
01/01/2026,3:23:00,1.044,0.058,239.61,4.67,0.79,2.04,12.64,1.92
01/01/2026,3:24:00,1.394,0.192,239.2,5.92,0.31,0,10.27,12.66
01/01/2026,3:25:00,3.778,0.575,238.67,15.95,0,0,3.82,59.15
01/01/2026,3:26:00,2.656,0.455,238.89,10.93,0.01,0,5.66,38.59
01/01/2026,3:27:00,0.238,0.025,240.69,0.81,0,0,5.96,0
01/01/2026,3:28:00,0.566,0.077,237.04,2.44,0,0,0.7,8.74
01/01/2026,3:29:00,1.492,0.219,235.29,6.42,0,0,2.01,22.86
01/01/2026,3:30:00,3.101,0.581,236.81,12.89,0,0,2.15,49.53
01/01/2026,3:31:00,2.108,0.432,241.15,8.81,2.35,0,2.85,29.93
01/01/2026,3:32:00,1.472,0.291,239.51,5.9,0,9.1,1.92,13.51
01/01/2026,3:33:00,0.911,0.108,243.34,3.75,0,0,1.74,13.45
01/01/2026,3:34:00,5.459,1.364,239.81,22.48,0,0,2.63,88.36
01/01/2026,3:35:00,1.261,0.277,242.53,5.47,0,0,2.86,18.16
01/01/2026,3:36:00,3.085,0.315,237.92,12.9,0,0.19,4.01,47.21
01/01/2026,3:37:00,1.205,0.107,238.69,4.91,0,0,1.14,18.95
01/01/2026,3:38:00,0.276,0.031,240.03,0.92,0,0,9.32,0
01/01/2026,3:39:00,1.924,0.27,239.56,7.78,0.52,0,11.83,19.73
01/01/2026,3:40:00,2.599,0.572,239.28,10.95,1.34,0,1.71,40.26
01/01/2026,3:41:00,4.319,0.888,237.38,18.39,0,0,0.79,71.19
01/01/2026,3:42:00,1.307,0.288,235.24,5.74,0.18,0,7.69,13.91
01/01/2026,3:43:00,1.065,0.111,241.89,4.68,0.76,0,15.48,1.51
01/01/2026,3:44:00,1.819,0.307,241.56,7.88,0,0,0.21,30.1
01/01/2026,3:45:00,0.405,0.043,238.16,1.89,0,0,0.09,6.66
01/01/2026,3:46:00,1.789,0.128,241.14,7.32,8.06,0,1.22,20.54
01/01/2026,3:47:00,1.793,0.335,239.5,7.52,0,0,6.93,22.96
01/01/2026,3:48:00,1.264,0.099,243.32,4.74,0,0,20.08,0.99
01/01/2026,3:49:00,1.329,0.244,236.06,5.76,0.66,0,8.33,13.17
01/01/2026,3:50:00,4.428,0.795,239.62,18.51,0,0,5.11,68.7
01/01/2026,3:51:00,1.845,0.391,239.38,8.03,8.16,0,7.23,15.36
01/01/2026,3:52:00,1.032,0.08,240.48,4.14,0,0,1.57,15.63
01/01/2026,3:53:00,0.27,0.056,244.61,1.21,0,0,7,0
01/01/2026,3:54:00,2.215,0.553,239.63,9.04,0,0,2.33,34.59
01/01/2026,3:55:00,0.578,0.127,242.23,2.36,0,4.6,1.51,3.52
01/01/2026,3:56:00,1.042,0.209,239.56,4.02,8.82,0,1.62,6.93
01/01/2026,3:57:00,1.554,0.284,243.21,6.66,0,0.97,6.61,18.32
01/01/2026,3:58:00,4.527,0.608,242.26,18.9,5.71,0,8.75,60.99
01/01/2026,3:59:00,3.197,0.627,239,13.28,0,0,5.23,48.05
01/01/2026,4:00:00,1.626,0.317,238.78,6.86,0,0,0.4,26.71
01/01/2026,4:01:00,4.353,0.767,241.46,18.03,3.36,0,0.23,68.96
01/01/2026,4:02:00,2.874,0.601,238.03,11.95,0,0,1.47,46.43
01/01/2026,4:03:00,0.142,0.02,240.57,0.61,6.68,0.81,2.03,0
01/01/2026,4:04:00,4.231,0.314,238.93,17.62,0,0,3.11,67.4
01/01/2026,4:05:00,1.676,0.271,241.1,7.15,9.23,0,0.47,18.23
01/01/2026,4:06:00,0.05,0.005,239.52,0.2,0,0.38,7.75,0
01/01/2026,4:07:00,3.097,0.393,237.92,13.49,0.07,0,7.46,44.08
01/01/2026,4:08:00,1.874,0.1,243.32,7.69,1.5,0,2.55,27.17
01/01/2026,4:09:00,1.381,0.175,240.72,5.76,0,2.38,4.97,15.67
01/01/2026,4:10:00,2.707,0.573,239.84,11.39,0,0,0.64,44.47
01/01/2026,4:11:00,1.392,0.221,241.26,5.94,0,0,3.22,19.98
01/01/2026,4:12:00,1.99,0.103,234.99,8.49,0,0,11.69,21.48
01/01/2026,4:13:00,1.247,0.179,246.27,5.16,0,0,6.48,14.29
01/01/2026,4:14:00,1.305,0.141,240.07,5.47,0,0,0.66,21.09
01/01/2026,4:15:00,0.403,0.059,234.11,1.56,0,0,11.29,0
01/01/2026,4:16:00,2.132,0.279,243.59,8.54,0,0,6.85,28.68
01/01/2026,4:17:00,6.11,1.444,237.75,25.84,8.25,0,3.62,89.97
01/01/2026,4:18:00,1.026,0.06,243.13,4.52,5.87,0.32,7.07,3.84
01/01/2026,4:19:00,0.587,0.11,240.36,2.11,0.59,2.81,1.14,5.23
01/01/2026,4:20:00,0.793,0.175,235.29,3.08,0,0,4.8,8.42
01/01/2026,4:21:00,0.242,0.059,240.78,0.72,0,0,5.77,0
01/01/2026,4:22:00,1.166,0.1,240.56,5,0,0,15.77,3.67
01/01/2026,4:23:00,1.272,0.199,243.46,5.4,7.86,0,0.42,12.92
01/01/2026,4:24:00,1.455,0.085,241.57,5.83,0,1.15,2.82,20.29
01/01/2026,4:25:00,2.819,0.422,236.28,12.37,0,0.81,16.57,29.6
01/01/2026,4:26:00,0.74,0.056,243.01,2.97,0,0,1.47,10.86
01/01/2026,4:27:00,0.804,0.175,238.76,3.65,0,0,10.07,3.33
01/01/2026,4:28:00,0.335,0.024,245.16,1.53,0,0,0.01,5.58
01/01/2026,4:29:00,0.735,0.112,238.94,2.88,0,0,0.16,12.09
01/01/2026,4:30:00,0.047,0.007,239.37,0.2,0,0,2.38,0
01/01/2026,4:31:00,2.819,0.689,237.53,11.69,0,0,8.78,38.2
01/01/2026,4:32:00,0.47,0.085,238.5,1.7,0,8.94,0.66,0
01/01/2026,4:33:00,0.48,0.052,237.71,1.97,0,0,2.9,5.11
01/01/2026,4:34:00,1.506,0.148,243.53,5.94,12.83,0,0.85,11.41
01/01/2026,4:35:00,0.59,0.045,236.01,2.47,0,0,1.52,8.32
01/01/2026,4:36:00,0.524,0.106,242.41,2.55,0,6.93,4.19,0
01/01/2026,4:37:00,0.426,0.08,242.49,1.9,4.2,0,2.31,0.58
01/01/2026,4:38:00,0.712,0.122,244.13,2.8,3.75,0,1.43,6.68
01/01/2026,4:39:00,1.702,0.099,240.13,6.96,0,1.39,3,23.98
01/01/2026,4:40:00,2.943,0.596,236.92,12.34,0,0,7.24,41.8
01/01/2026,4:41:00,0.545,0.097,239.48,2.69,11.97,0,0.76,0
01/01/2026,4:42:00,1.396,0.339,241.78,5.55,0,0,3.92,19.34
01/01/2026,4:43:00,0.903,0.151,240.25,3.76,3.76,0,1.93,9.37
01/01/2026,4:44:00,4.615,0.511,241.1,19.23,0,0,2.85,74.06
01/01/2026,4:45:00,4.1,0.518,244.1,17.04,0.35,0,10.34,57.65
01/01/2026,4:46:00,0.296,0.025,241.75,1.16,0,0,15.93,0
01/01/2026,4:47:00,1.436,0.279,240.6,5.78,3.59,0,1.67,18.67
01/01/2026,4:48:00,1.572,0.301,234.47,6.76,0,0,5.97,20.23
01/01/2026,4:49:00,0.886,0.08,237.65,3.99,7.39,0.26,6.77,0.34
01/01/2026,4:50:00,0.735,0.06,238.79,3.02,0,0,11.09,1.17
01/01/2026,4:51:00,0.577,0.038,234.07,2.3,0,0,13.76,0
01/01/2026,4:52:00,0.806,0.187,236.67,3.43,0,0,3.79,9.64
01/01/2026,4:53:00,2.488,0.24,239.19,10.08,1.5,0,24.3,15.67
01/01/2026,4:54:00,1.969,0.234,239.68,8.17,0,0,21.21,11.61
01/01/2026,4:55:00,1.293,0.137,241.52,5.59,0,0,4.24,17.31
01/01/2026,4:56:00,0.656,0.087,239.38,2.91,0,0,4.69,6.24
01/01/2026,4:57:00,0.817,0.158,240.74,3.36,0.5,4.52,6.61,1.98
01/01/2026,4:58:00,6.07,1.36,238.75,25.75,0,0,2.81,98.35
01/01/2026,4:59:00,4.723,0.409,240.13,20.05,0,0.53,6.51,71.68
01/01/2026,5:00:00,0.788,0.148,241.35,3.4,4.98,0,4.33,3.83
01/01/2026,5:01:00,0.461,0.056,244.42,1.59,1.9,0,0.22,5.57
01/01/2026,5:02:00,0.886,0.218,238.46,3.34,0,0,11.49,3.27
01/01/2026,5:03:00,1.039,0.114,240.43,4.6,0,0,16.93,0.39
01/01/2026,5:04:00,0.382,0.02,242.61,1.62,0,0,0.16,6.2
01/01/2026,5:05:00,1.776,0.272,235.68,7.86,0,0,9.34,20.27
01/01/2026,5:06:00,1.216,0.097,245.99,4.68,0,0,2.92,17.34
01/01/2026,5:07:00,0.935,0.055,243.54,3.81,0,0,5.29,10.31
01/01/2026,5:08:00,0.756,0.143,234.87,3.42,25.7,0,4.16,0
01/01/2026,5:09:00,2.635,0.518,241.11,10.78,0,0,4.81,39.1
01/01/2026,5:10:00,0.656,0.093,238.31,2.96,6.38,0,4.1,0.45
01/01/2026,5:11:00,7.517,1.394,238.81,31.45,0,0,11.52,113.77
01/01/2026,5:12:00,1.632,0.257,241.05,6.77,0,1.78,6.9,18.51
01/01/2026,5:13:00,1.519,0.267,243.15,6.01,0,0,3.19,22.13
01/01/2026,5:14:00,2.133,0.361,238.6,8.99,11.56,0,7,16.99
01/01/2026,5:15:00,4.609,0.844,238.64,19.75,0,0,20.12,56.7
01/01/2026,5:16:00,0.762,0.069,241.12,3.24,0,0,0.5,12.2
01/01/2026,5:17:00,2.309,0.24,241.72,9.4,0,0,2.95,35.54
01/01/2026,5:18:00,2.229,0.308,236.98,9.69,0,0,12.26,24.89
01/01/2026,5:19:00,3.215,0.448,245.17,12.96,0,0,8.06,45.53
01/01/2026,5:20:00,1.078,0.221,238.07,4.87,1.34,0,16.39,0.24
01/01/2026,5:21:00,3.022,0.373,242.89,12.19,7.65,0,0.24,42.48
01/01/2026,5:22:00,0.694,0.057,241.36,2.93,0,0,11.92,0
01/01/2026,5:23:00,0.188,0.019,241.82,1.08,3.36,0,9.42,0
01/01/2026,5:24:00,1.421,0.132,238.13,5.79,0,0,10.13,13.56
01/01/2026,5:25:00,2.904,0.57,234.83,12.39,5.84,0,5.46,37.12
01/01/2026,5:26:00,1.528,0.22,239.94,6.6,0,0,0.32,25.14
01/01/2026,5:27:00,1.625,0.312,239.95,6.32,4.41,0,4.65,18.03
01/01/2026,5:28:00,2.274,0.303,237.13,9.78,0.02,0,3.14,34.75
01/01/2026,5:29:00,2.169,0.495,242.75,8.92,1.54,0,4.49,30.12
01/01/2026,5:30:00,3.719,0.917,239.85,15.79,0,0,8.09,53.89
01/01/2026,5:31:00,0.859,0.158,237.57,3.45,0,2.79,5.44,6.08
